ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,PROMEDIO DIARIO EN HORAS,LATITUD,LONGITUD
27,CHOCÓ,27077,BAJO BAUDÓ,27077026,2024,7,7265,4440.0,34.02,10.23,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077008,2024,7,942,268.0,7.19,8.13,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077000,2024,7,257463,99964.0,478.37,23.3,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077916,2024,7,3828,1591.0,27.57,7.03,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077019,2024,7,6922,5092.0,31.05,9.12,4.492865435,-77.08271352
27,CHOCÓ,27099,BOJAYÁ,27099000,2024,7,63749,18620.0,265.98,10.39,6.474666885,-77.09933025
27,CHOCÓ,27099,BOJAYÁ,27099002,2024,7,9539,3531.0,51.2,8.1,6.474666885,-77.09933025
27,CHOCÓ,27099,BOJAYÁ,27099005,2024,7,9344,2970.0,60.8,6.16,6.474666885,-77.09933025
27,CHOCÓ,27099,BOJAYÁ,27099008,2024,7,11897,3685.0,62.4,7.34,6.474666885,-77.09933025
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,2024,7,61530,30589.0,245.12,10.55,4.272940191,-76.98785828
27,CHOCÓ,27372,JURADO,27372000,2024,7,182873,62366.0,351.2,23.32,7.103338868,-77.67973662
27,CHOCÓ,27425,MEDIO ATRATO,27425000,2024,7,16169,7622.0,68.0,10.34,6.033880098,-76.6734697
27,CHOCÓ,27425,MEDIO ATRATO,27425008,2024,7,1666,670.0,22.92,3.24,6.033880098,-76.6734697
27,CHOCÓ,27495,NUQUÍ,27495001,2024,7,18926,7459.0,60.0,15.06,5.591359844,-77.33057439
27,CHOCÓ,27495,NUQUÍ,27495011,2024,7,986,443.0,5.62,7.12,5.591359844,-77.33057439
27,CHOCÓ,27495,NUQUÍ,27495912,2024,7,7219,2956.0,11.5,22.29,5.591359844,-77.33057439
27,CHOCÓ,27495,NUQUÍ,27495000,2024,7,312363,105627.0,575.87,23.51,5.591359844,-77.33057439
27,CHOCÓ,27001,QUIBDÓ,27001029,2024,7,462,138.0,18.14,1.07,5.7543229,-76.65015147
27,CHOCÓ,27800,UNGUÍA,27800005,2024,7,18007,4842.0,76.91,10.29,8.117281079,-77.10372723
27,CHOCÓ,27800,UNGUÍA,27800000,2024,7,508534,160237.0,1051.78,22.23,8.117281079,-77.10372723
94,GUAINÍA,94343,BARRANCO MINAS,94343000,2024,7,87489,29752.0,245.59,15.36,3.140558454,-69.69713423
94,GUAINÍA,94001,INÍRIDA,94001905,2024,7,5177,364.0,17.16,16.04,3.516363079,-68.00834728
94,GUAINÍA,94001,INÍRIDA,94001000,2024,7,2042573,557699.0,3836.8,24.0,3.516363079,-68.00834728
44,LA GUAJIRA,44847,URIBIA,44847012,2024,7,38023,8637.0,262.08,5.36,11.99971986,-71.74882662
47,MAGDALENA,47189,CIÉNAGA,47189018,2024,7,76944,27976.0,167.74,21.53,10.85754552,-74.02500493
50,META,50325,MAPIRIPAN,50325000,2024,7,175985,58347.0,347.6,23.59,3.117523361,-71.93805692
52,NARIÑO,52250,EL CHARCO,52250016,2024,7,283,177.0,6.14,1.53,2.216382295,-77.99533234
52,NARIÑO,52250,EL CHARCO,52250005,2024,7,1211,851.0,8.8,5.37,2.216382295,-77.99533234
52,NARIÑO,52250,EL CHARCO,52250007,2024,7,13460,4010.0,64.0,9.4,2.216382295,-77.99533234
52,NARIÑO,52390,LA TOLA,52390005,2024,7,2252,482.0,10.37,9.14,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390013,2024,7,7626,2501.0,56.35,6.2,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390003,2024,7,6165,2772.0,25.96,11.23,2.56027333,-78.23506694
